คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"ซอสศรีราชา, ซอสพริก, ซอสพริกศรีราชา, 
ซอสพริกศรีราชาพาณิช",ซอสพริกศรีราชา,ขวด,,ซอสพริกศรีราชา
"ไส้กรอกชีส, ไส้กรอก ชีส",ไส้กรอกชีส,ถุง,,ไส้กรอกชีส
"น้ำพริกเผา 720ml, น้ำพริกเผาฉั่วฮะเส็งใหญ่, น้ำพริกเผา",น้ำพริกเผา (ตราฉั่วฮะเส็ง) 720 ml.,ขวด,,น้ำพริกเผา (ตราฉั่วฮะเส็ง) 720 ml.
"บุกม้วน, บุกโมกิ, บุกม้วนโมกิ",บุกม้วน ตราโมกิ 2kg,"กก, แพ็ค",,บุกม้วน ตราโมกิ 2kg
"ถุงมือดำ L, ถุงมือแพทย์ L, ถุงมือ L",ถุงมือทำอาหารสีดำ size L,แพ็ค,,ถุงมือทำอาหารสีดำ size L
"น้ำตาลแดง, น้ำตาลทรายแดง, น้ำตาลแดงมิตรผล, โอถึ้งตาลทรายแดง, โอถึ้งน้ำตาลทรายแดง",น้ำตาลทรายแดง ตรามิตรผล 1kg.,กก,,น้ำตาลทรายแดง ตรามิตรผล 500g.
"เกลือป่น, เกลือปรุงทิพย์, เกลือป่นปรุงทิพย์",เกลือป่น ตราปรุงทิพย์,แพ็ค,,เกลือป่น ตราปรุงทิพย์
"กวางตุ้งดอก, กวางตุ้งใบดอก",กวางตุ้งดอก,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กวางตุ้งดอก
"เก๋ากี้, เก๋ากี, โกจิเบอร์รี่, เก้ากี่",เก๋ากี้,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เก๋ากี้
"พุทราแห้ง, พุทรา, ผลพุทรา",พุทราจีนแห้ง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พุทราจีนแห้ง
"เห็ดพอร์โตเบลโล, เห็ดพอตทาเบลโล, Portobello, เห็ดขนาดใหญ่ม เห็ดพอททาเบลโล่, potabello, เห็ดพอทโทเบโล่",เห็ดพอททาเบลโล่ | Portobello Mushroom,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดพอททาเบลโล่ | Portobello Mushroom
"น้ำมันถั่วเหลือง, น้ำมันตราองุ่น, น้ำมันองุ่น",น้ำมันถั่วเหลือง ตราองุ่น,"ถุง, แพ็ค",,น้ำมันถั่วเหลือง ตราองุ่น
"ขมิ้นป่น, ผงขมิ้น, Turmeric powder",ขมิ้นป่น ตรา Ground Turmeric 500g ,ขวด,,ขมิ้นป่น ตรา Ground Turmeric 500g 
"ถุงหิ้ว 8*16, ถุงหิ้ว 8x16, ถุง 8x16 หิ้ว",ถุงหิ้ว 8x16,แพ็ค,,ถุงหิ้ว 8x16
"ถุงหิ้ว 9*18, ถุงหิ้ว 9x18, ถุง 9x18 หิ้ว",ถุงหิ้ว 9x18,แพ็ค,,ถุงหิ้ว 9x18
"พริกหม่าล่า, ผงหม่าล่า, พริกผงหม่าล่า",พริกผงหม่าล่า 250g.,แพ็ค,,พริกผงหม่าล่า 250g.
"ใยขัด, สก๊อตไบรท์, ฟองน้ำขัด, โพลีไบรท์","โพลี-ไบรท์ ใยขัดอเนกประสงค์ 3x4""",แพ็ค,,"โพลี-ไบรท์ ใยขัดอเนกประสงค์ 3x4"""
"ถุงขยะ 36x45, ถุงดำ 36x45, ถุงขยะใหญ่, ถุงดำใช้ใหญ่ 36 × 45, ถุงดำใช้ใหญ่36×45, ถุงขยะไซส์ 36*45",ถุงขยะดำ 36x45,"แพ็ค, กก",,ถุงขยะดำ 36x45
"นมข้นหวาน, นมหวาน, นมข้นหวานกระป๋อง, นมข้นหวานคาร์เนชัน",นมข้นหวาน | SWEETENED CONDENSED MILK 388ml.,กระป๋อง,,นมข้นหวาน | SWEETENED CONDENSED MILK 388ml.
"ถั่วลิสงป่น, ถั่วป่น, ถั่วบดป่น",ถั่วลิสงป่น ตราไร่ทิพย์ 500g,"แพ็ค, ถุง",,ถั่วลิสงป่น ตราไร่ทิพย์ 500g
"บล็อคโคลี่แช่แข็ง, บล็อกโคลีแช่แข็ง, บร็อคโคลีแช่แข็ง, บอกคลีแซ่แข้ง, ผักบรอกโครีแช่แข็ง, frozen broccoli",บล็อคโคลี่แช่แข็ง | Frozen Broccoli,"แพ็ค, กก",,บล็อคโคลี่แช่แข็ง | Frozen Broccoli
"ข้าวหอมมะลิ 5 กก, ข้าวเบญจรงค์, ข้าวหอมมะลิเบญจรงค์",เบญจรงค์ ข้าวหอมมะลิ 5 กก.,ถุง,,เบญจรงค์ ข้าวหอมมะลิ 5 กก.
"ถุงร้อน 4*7, ถุงร้อน 4x7, ถุง 4x7, ถุง 4*7",ถุงร้อน 4x7,"แพ็ค, ถุง",,ถุงร้อน 4x7
"ถุงร้อน 4*6, ถุงร้อน 4x6, ถุง 4x6, ถุง 4*6, ถุงร้อน4x6",ถุงร้อน 4x6,"แพ็ค, ถุง",,ถุงร้อน 4x6
"แอทแทค, ผงซักฟอกแอทแทค, ผงซักฟอกซากุระ",แอทแทค อีซี่ ผงซักฟอก กลิ่นซากุระสวีท 2.5kg.,ถุง,,แอทแทค อีซี่ ผงซักฟอก กลิ่นซากุระสวีท 2.5kg.
"พริกป่น, พริกป่นไร่ทิพย์",พริกป่น ตรา ไร่ทิพย์ 500 g,"แพ็ค, ถุง",,พริกป่น ตรา ไร่ทิพย์ 500 g
"ฮวาเจียว, เม็ดหม่าล่า, พริกไทยเสฉวน, ฮวาเจียวเขียว",ฮวาเจียว เม็ดหม่าล่า 250 g,"แพ็ค, ถุง",,ฮวาเจียว เม็ดหม่าล่า 250 g
"น้ำยาล้างจาน, ซันไลต์, น้ำยาซันไลต์, ซันไลท์",น้ำยาล้างจาน ซันไลต์ เลมอนเทอร์โบ 3200ml,"แกลลอน, แกลอน, ขวด",,น้ำยาล้างจาน ซันไลต์ เลมอนเทอร์โบ 3200ml
"ถุงร้อน 6*9, ถุงร้อน 6x9, ถุง 6x9 ร้อน",ถุงร้อน 6x9,"แพ็ค, ถุง",,ถุงร้อน 6x9
"ถุงหิ้ว 6*14, ถุงหิ้ว 6x14, ถุง 6x14",ถุงหิ้ว 6x14,"แพ็ค, ถุง",,ถุงหิ้ว 6x14
"เชือกมัด, เชือกพัสดุ, เชือกฟาง",เชือกมัดพัสดุ,"ชิ้น, ม้วน",,เชือกมัดพัสดุ
"ผงชูรส, อายิโนะโมโต๊ะ, ผงชูรสอายิโนะ",ผงชูรส อายิโน๊ะโมโต๊ะ,"แพ็ค, ถุง",,ผงชูรส อายิโน๊ะโมโต๊ะ
"น้ำมันรำข้าว, น้ำมันคิงส์, น้ำมันรำข้าวคิงส์",น้ำมันรำข้าว ตราคิงส์ 1000ml.,"ขวด, กก",,น้ำมันรำข้าว ตราคิงส์ 1000ml.
"ถุงหิ้ว 15*22, ถุงหิ้ว 15x22, ถุง 15x22",ถุงหิ้ว 15x22,แพ็ค,,ถุงหิ้ว 15x22
"ถั่วลูกไก่, ถั่วชิกพี, ถั่วแขกกลม",ถั่วลูกไก่,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วลูกไก่
"หมูสับ, เนื้อหมูสับ, pork mince",หมูสับ | Pork Mince,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หมูสับ
"ไก่สด, whole chicken",ไก่สด | Whole Chicken,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ไก่สด
"พริกขี้หนูสวนเด็ด, พริกสวนไร้ก้าน, green bird chilli no stem",พริกขี้หนูสวน เด็ดก้าน | GARDEN BIRD CHILLI NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูสวน เด็ดก้าน | GARDEN BIRD CHILLI
"เต้าหู้ปลา, เต้าหู้ปลามิกิ, ฟิชเค้ก",เต้าหู้ปลามิกิ PFP,"แพ็ค, ถุง",,เต้าหู้ปลามิกิ PFP
"น้ำปลาร้าแม่บุญล้ำ, ปลาร้าแม่บุญล้ำ, น้ำปลาร้าขวดตราแม่บุญล้ำ, น้ำปลาร้า",น้ำปลาร้า ตราแม่บุญล้ำ 400ml.,ขวด,,น้ำปลาร้า ตราแม่บุญล้ำ 400ml.
"มะม่วงเบา, มะม่วงเบาดิบ, baby green mango",มะม่วงเบาดิบ | BABY GREEN MANGO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะม่วงเบาดิบ | BABY GREEN MANGO
"กะทิอร่อยดี 1 ลิตร, กะทิ 1000ml, กะทิกล่องใหญ่, กะทิอร่อยดีกล่องใหญ่",กะทิอร่อยดี 1000 ml.,กล่อง,,กะทิอร่อยดี 1000 ml.
"บะหมี่ไข่, เส้นบะหมี่, egg noodles, egg noodle",บะหมี่ไข่ | Egg Noodle 500g.,"แพ็ค, ถุง",,บะหมี่ไข่
"ถุงขยะเล็ก 18x20, ถุงดำเล็ก, ถุงขยะดำ 18x20",ถุงขยะดำเล็ก 18x20,"แพ็ค, ถุง",,ถุงขยะดำเล็ก 18x20
"ถุงขยะ 30x40, ถุงดำ 30x40, ถุงขยะดำ30*40, ถุงขยะดำ30*40",ถุงขยะดำ 30x40,"แพ็ค, ถุง",,ถุงขยะดำ 30x40
"ถุงซิป 6*8, ถุงซิป 6x8, ถุงซิปล็อค 6x8",ถุงซิปล๊อค 6x8,"แพ็ค, ถุง",,ถุงซิปล๊อค 6x8
"พริกเขียวเกาหลี, พริกยำเกาหลี, พริกเขียวยาว",พริกยำเขียวเกาหลี | Long Green Cayenne,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกยำเขียวเกาหลี | Long Green Cayenne
"ตะเกียบ, ตะเกียบไม้, ตะเกียบไม้ไผ่",ตะเกียบไม้ไผ่ ตราAro ห่อกระดาษ 1x100,"แพ็ค, ถุง",,ตะเกียบไม้ไผ่ ตราAro ห่อกระดาษ 1x100
"ไข่เป็ด, ไข่เป็ดเบอร์ 21, duck egg",ไข่เป็ด เบอร์ 21 | Duck Egg no.21,แผง,,ไข่เป็ด เบอร์ 21
แก๊สกระป๋อง,แก๊สกระป๋อง,ชิ้น,,แก๊สกระป๋อง
"กระเทียมป่น, กระเทียมป่น ตรามือที่1",กระเทียมป่น ตรามือที่ 1 500g,"แพ็ค, ถุง",,กระเทียมป่น
"ขมิ้นป่น ตรามือ, ขมิ้นป่น ตรามือที่ 1",ขมิ้นป่น ตรามือที่ 1 500g ,"แพ็ค, ถุง",,ขมิ้นป่น ตรามือที่ 1 500g 
ไม้จิ้มฟันซองกระดาษ,ไม้จิ้มฟันซองกระดาษ 500 ชิ้น,"แพ็ค, ถุง",,ไม้จิ้มฟันซองกระดาษ 500 ชิ้น
"หัวพ่นไฟ, หัวพ่นอาหาร",หัวพ่นไฟแก๊สกระป๋อง หัวพ่นอาหาร Lucky Flame,ชิ้น,,หัวพ่นไฟแก๊สกระป๋อง หัวพ่นอาหาร Lucky Flame
"หมูสามชั้น, หมูสามชั้นแผ่น",หมูสามชั้นแผ่น,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หมูสามชั้นแผ่น
"มันหมูแข็งแผ่น, มันหมูแผ่น",มันหมูแข็งแผ่น,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันหมูแข็งแผ่น
"อสร, น้ำส้มสายชูกลั่น",อสร. น้ำส้มสายชูกลั่น 5% 5L.,"แกลลอน, แกลอน, ขวด",,อสร. น้ำส้มสายชูกลั่น 5% 5L.
"เรดไวน์, Mont Clair, red wine","เรดไวน์ MONT CLAIR Red Celebration 3L., เรดไวน์","กล่อง, ขวด",,เรดไวน์ MONT CLAIR Red Celebration 3L.
น้ำมันพริกเผา,น้ำมันพริกเผา ตราฉั่วฮะเส็ง ,ขวด,,น้ำมันพริกเผา ตราฉั่วฮะเส็ง 
"ครีมเทียมดรัมมี่, ครีมเทียมผงดรีมมี่",ครีมเทียมผง คอฟฟี่เมท ตราดรีมมี่,"แพ็ค, ถุง",,ครีมเทียมผง คอฟฟี่เมท ตราดรีมมี่
น่องไก่,น่องไก่,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,น่องไก่
"สะโพกไก่เลาะกระดูก, boneless chicken thigh",สะโพกไก่เลาะกระดูก | Boneless Chicken Thigh,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สะโพกไก่เลาะกระดูก 
ขิงอ่อน,ขิงอ่อน,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ขิงอ่อน
"โครงไก่, ซี่โครงไก่",โครงไก่ | Chicken Carcass,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ซี่โครงไก่
กระเทียมเจียว,กระเทียมเจียว ไร่ทิพย์ 500g.,"กก, กรัม, Kg, g., kg, แพค, ถุง, แพ็ค",,กระเทียมเจียว ไร่ทิพย์ 500g.
"เส้นเวียดนาม, เส้นก๋วยจั๊บเวียดนาม, ก๊วยจั๊บเวียดนาม",เส้นก๋วยจั๊บเวียดนาม,"กก, กรัม, Kg, g., kg, แพค, ถุง, แพ็ค",,เส้นก๋วยจั๊บเวียดนาม
แหนมซี่โครง,แหนมซี่โครงหมูดอนเมือง ตราเจริญศรี 200g.,"แพ็ค, ถุง, แพค",,แหนมซี่โครงหมูดอนเมือง ตราเจริญศรี 200g.
"ผักกาดดองนกพิราบ, ผักกาดดองนกพิราบ 230g",นกพิราบผักกาดดองเค็ม ฝาดึง 230g.,"แพ็ค, ถุง, แพค, กระป๋อง",,นกพิราบผักกาดดองเค็ม ฝาดึง 230g.
"เฟรนฟราย, เฟรนซ์ฟรายส์, เฟรนซ์ฟรายซ์, เฟรนส์ฟรายส์",เอโร่ เฟรนช์ฟรายส์แช่แข็ง เส้นตรงเล็ก ขนาด 7 mm.,"แพ็ค, ถุง, แพค",,เอโร่ เฟรนช์ฟรายส์แช่แข็ง เส้นตรงเล็ก ขนาด 7 mm.
"มาลีลิ้นจี่, ลิ้นจี่กระป๋อง, ลิ้นจี่มาลี ",มาลีลิ้นจี่กระป๋อง MALEE LYCHEE IN SYRUP 20 OZ.,กระป๋อง,,มาลีลิ้นจี่กระป๋อง MALEE LYCHEE IN SYRUP 20 OZ.
"พริกมาล่า, พริกป่นหม่าล่า, พริกหม่าล่า, พริกหมาล่าถุงเหลือง, พริกหมาล่าถุงเหลือง, ผงหมาล่าถุงสีเหลือง",พริกป่น หม่าล่า 200g. ซองเหลือง,"แพ็ค, ถุง, แพค",,พริกป่น หม่าล่า 200g. ซองเหลือง
"น้ำจิ้มสุกี้, น้ำจีมสุกี้",เอโร่ น้ำจิ้มสุกี้ สูตรกวางตุ้ง 1 กก.,"แพ็ค, ถุง, แพค",,เอโร่ น้ำจิ้มสุกี้ สูตรกวางตุ้ง 1 กก.
"หอมแดงไทยปลอก, หอมแดงไทปลอก, หอมแดงไทยปอก, หอมแดงไทย ปลอก, หอมแดง*ไทย*ปอกเปลือก, peeled thai red onion",หอมแดงไทย ปลอก | PEELED THAI RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงไทย ปลอก | THAI RED ONION
"แป้งขนมปัง หงส์ถุงเขียว, แป้งขนมปังเขียว",แป้งขนมปัง ตราหงส์ขาว 1 กก. สีเขียว,"กก, กรัม, Kg, g., kg, แพค, ถุง, แพ็ค,กิโล, กิโลกรัม, โล",,แป้งขนมปัง ตราหงส์ขาว 1 กก. สีเขียว
"แป้งอเนกประสงค์, แป้งสีฟ้า, แป้งสาลี ตราว่าว",แป้งอเนกประสงค์ ตราว่าว 1 กก. สีฟ้า,"กก, กรัม, Kg, g., kg, แพค, ถุง, แพ็ค,กิโล, กิโลกรัม, โล",,แป้งอเนกประสงค์ ตราว่าว 1 กก. สีฟ้า
ตะเกียบทั่วไป,ตะเกียบทั่วไป,"แพ็ค, ถุง",,ตะเกียบทั่วไป
งาดำ,งาดำ ตราไร่ทิพย์ 500g.,"แพ็ค, ถุง",,งาดำ ตราไร่ทิพย์ 500g.
นมข้นหวานแบบถุง,นมข้นหวานแบบถุง,"แพ็ค, ถุง",,นมข้นหวานแบบถุง
"ซันนี่เดย์, มันฝรั่งเกลียว, เคอรี่ฟาย มันฝรั่งแบบเกลียว ",ซันนี่เดย์โกลด์ มันฝรั่งเส้นเกลียว ปรุงรสแช่แข็ง 450g.,"แพ็ค, ถุง",,ซันนี่เดย์โกลด์ มันฝรั่งเส้นเกลียว ปรุงรสแช่แข็ง 450g.
"แม๊กโม่, แม๊กซ์โม่, กระดาษแบบแผ่น, ทิชชู่แผ่น",แม๊กซ์โม่ กระดาษอเนกประสงค์ แบบแผ่น 85 แผ่น,"แพ็ค, ถุง, ชิ้น",,แม๊กซ์โม่ กระดาษอเนกประสงค์ แบบแผ่น 85 แผ่น
"สก็อต, สก็อตต์, กระดาษแบบม้วน, ทิชชู่ม้วน, SCOTT",SCOTT กระดาษอเนกประสงค์แบบม้วน รุ่นทาวเวลพิกอะไซส์ (2 ม้วน/แพ็ค),"แพ็ค, ถุง, ชิ้น, ม้วน",,SCOTT กระดาษอเนกประสงค์แบบม้วน รุ่นทาวเวลพิกอะไซส์ (2 ม้วน/แพ็ค)
"กวงโย่ว, กวงโยว, เส้นมันเทศ, เส้นมันหวาน, วุ้นเส้นเกาหลี, มันเทศเกาหลี",กวงโย่ว เส้นมันหวาน สีเหลือง 400g.,"แพ็ค, ถุง",,กวงโย่ว เส้นมันหวาน สีเหลือง 400g.
"ดอกกุยช่าย, ดอกช่าย, ดอกกุนช่าย, ดอกกุยชาย, flowering chives",ดอกกุยช่าย | Flowering Chives,"กก, กรัม, Kg, g., kg,กิโล, กิโลกรัม, โล",,ดอกกุยช่าย | Flowering Chives
"ปีกไก่กลาง, ปีกกลางไก่",ปีกไก่กลาง,"กก, กรัม, Kg, g., kg,กิโล, กิโลกรัม, โล",,
"น้ำเทียมดอง, น้ำกระเทียมดอง, น้ำกะเทียมดอง",น้ำกระเทียมดอง,ขวด,,
"ปลาส้ม, ปาส้ม, ปลาส่ม",ปลาส้ม,"กก, กรัม, Kg, g., kg,กิโล, กิโลกรัม, โล",,
"มะเขือเทศ Heirloom, มะเขือเทศแฮลูม",มะเขือเทศ Heirloom tomato,"กก, กรัม, Kg, g., kg,กิโล, กิโลกรัม, โล",,
"น้ำมันรำข้าว ตราคิง 5 ลิตร, น้ำมันรำข้าว ตราคิงส์ 5L.",น้ำมันรำข้าว ตราคิงส์ 5L.,"กก, กรัม, Kg, g., kg, แพค, ถุง, แพ็ค, แกลอน, แกลลอน",,
"ครีมเทียม, ครีมเทียมข้น, ครีมเทียมข้นหวาน",ครีมเทียมข้นหวาน ตราซันเบิร์ด 2kg.,"แพ็ค, ถุง, แพค",,
"เป็ดสด, เป็ดตัว",เป็ดสด (ตัว),"กก, กรัม, Kg, g., kg, ตัว,กิโล, กิโลกรัม, โล",,
"สับปะรดแช่แข็ง, สัปปะรดแช่แข็ง, สัปะรดแช่แข็ง, สับปะรด แช่แข็ง, frozen pineapple",สับปะรดแช่แข็ง,"กก, กรัม, Kg, g., kg,กิโล, กิโลกรัม, โล",,
"โยเกิร์ตดัชชี่, โยเกิร์ต ดัชชี่, yogurt dutchie",โยเกิร์ต ดัชชี่,"ถ้วย, ชิ้น, pcs",,
งาขาว,งาขาว ไร่ทิพย์ 500g,"แพ็ค, ถุง, ชิ้น, แพค",,
"แปรงขัดพื้น, แปลงขัดพื้น, แปรงขัดพื้น ด้ามยาว",แปรงขัดพื้น ด้านยาว,"อัน, ด้าม, ชิ้น, pcs",,
"คนอร์ ซุปเนื้อ, คนอร์ก้อนกระปุก รสเนื้อ",คนอร์ ซุปเนื้อ ชนิดก้อนกึ่งสำเร็จรูป 1.5 Kg,แพ็ค,,
กล่องพลาสติก,กล่องพลาสติก 1 ช่อง 1000 ml. 1x25,แพ็ค,,
"สตอเบอร์เบอร์รี่ USA,USA,usa",สตอเบอร์รี่ Strawberry USA Pack 12 (250g.),แพ็ค,,
ลูกชิ้นปลา,ลูกชิ้นปลา,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล,ถุง,แพ็ค",,
"เสือร้องไห้, เนื้อเสื้อร้องไห้, brisket",เนื้อเสื้อร้องไห้ | Brisket,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
นักเก็ตไก่,เอโร่ นักเก็ตไก่แช่แข็ง 1 Kg.,แพ็ค,,
"อโวคาโด กก, avocado kg",อโวคาโด แฮส | HASS AVOCADO kg.,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
สตอเบอร์เบอร์รี่ USA ถาด,สตอเบอร์รี่ Strawberry USA Tray 12 (250g.),แพ็ค,,
"เห็ดเข็มทองมากิ, ",เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 100g.,แพ็ค,,
Bertolli Extra Virgin Olive Oil 1L.,Bertolli Extra Virgin Olive Oil 1L.,ขวด,,
ชุดซอยจุ๊,ชุดซอยจุ๊เนื้อวัวสด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
กระเทียมดองน้ำผึ้ง,กระเทียมโทนดองน้ำผึ้ง 800g.,"กระปุก, ชิ้น",,
"มะรุมปอก, มะรุมปลอก, peeled moringa",มะรุมปอก | Peeled Moringa,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"พริกแดงส้ม, พริกแกงส้ม",พริกแกงส้ม,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ถุงขยะดำเล็ก, ถุงขยะดำเล็ก 18x24, ถุงขยะดำเล็ก 18*24",ถุงขยะดำเล็ก 18x24,แพ็ค,,
"พริกป่น 100g., พริกป่น 100 กรัม",พริกป่น 100g.,แพ็ค,,
บวบหอม,บวบหอม | Sponge Groud,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
บะหมี่หยก,บะหมี่หยก,แพ็ค,,
"มรกต น้ำมันพืชปิ๊บ, น้ำมันพืชมรกต,ปิ๊บ น้ำมันปาล์มมรกต ปิ๊บ",มรกต น้ำมันปาล์ม ปิ๊บ 18 ล.,ปิ๊บ,,
"137 ดีกรี, อัลมอนออริจิ, 137",137 ดีกรีอัลมอนออริจิ 1000ml.,"กล่อง, ชิ้น",,
ปลาร้าตัว,ปลาร้า ตัว,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล, ถุง",,
น้ำมันงาจีน ตรามังกรคู่,น้ำมันงาจีน ตรามังกรคู่,"ขวด, ชิ้น",,
"ช้อนสั้น, ช้อนพลาสติกเล็ก",ช้อนสั้น พลาสติกสีขาวขุ่น,แพ็ค,,
หมวกคลุมผมตัวหนอน,หมวกคลุมผมตัวหนอน,แพ็ค,,
ปลาช่อน,ปลาช่อน | Snakehead Fish,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล, ถุง",,
น้ำมันรำข้าวคิง 5L,น้ำมันรำข้าว ตราคิงส์ 5L.,"แกลลอน, ขวด",,
"ชุดเครื่องยำ, ชุดต้มยำ, ชุดเครื่องต้มยำ",ชุดเครื่องต้มยำ ข่า ตะไคร้ ใบมะกรูด,"ชุด, อัน, กำ",,
"MONT CLAIR White Celebration 3L., ไวน์ขาว, white wine, ไวท์ไวน์",MONT CLAIR White Celebration 3L.,"กล่อง, อัน, ชิ้น",,
ซอสหอยนางรม ตราแม่ครัว 4.5L.,ซอสหอยนางรม ตราแม่ครัว 4.5L.,"แกลลอน, ขวด",,
"อโวคาโดพื้นเมือง, อโวคาโด 034, อโวคาโดพันธุ์ 034, 034, avocado 034, avo 034",อโวคาโดพื้นเมือง พันธุ์ 034 AVOCADO KG.,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
เนื้อหมูป่า 3 ชั้น หั่น,เนื้อหมูป่า 3 ชั้น หั่นชิ้น,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"ทไวนิงส์, ทไวนิ้ง, ชาเอิร์ลเกร์ย, ทไวนิงส์ ชาเอิร์ลเกรย์, ชาเอิร์ลเกร, twining, twg earlgray",ทไวนิงส์ ชาเอิร์ลเกรย์ 2g. x 25,"กล่อง, อัน, ชิ้น",,
ถุวมือยางสีดำ ไซซ์ S,ถุงมือยาง สีดำ S,"กล่อง, อัน, ชิ้น",,
"ไส้กรอกแดง, ใส้กรอกแดง, ใส้กรอกแหลมทอง, ไส้กรอกแหลมทอง, ไส้กรอกแดงแหลมทอง",ไส้กรอกแดงไก่ ตราแหลมทอง,"แพ็ค, ชิ้น",,
"ARO กระดาษรองอาหาร 6x8, กระดาษรองอาหาร 6x8",ARO กระดาษรองอาหาร 6x8 500 ใบ,"แพ็ค, ชิ้น, อัน",,
"โกโก้ริช, โกโก้ริช ผงโกโก้, ผงโกโก้ สีเข้ม, ผงโกโก้ โกโก้ริช ",โกโก้ริช ผงโกโก้ สีเข้ม 450g.,"แพ็ค, ชิ้น, อัน, กล่อง",,
"Whipping cream anchor, ANCHOR Whipping Cream, anchor whipping cream, anchor วิปปิ้งครีม",ANCHOR Whipping Cream 1L.,กล่อง,,
"Cooking Cream anchor, ANCHOR Cooking Cream, anchor Cooking Cream , anchor คุกกิ้งครีม",ANCHOR Cooking Cream 1L.,กล่อง,,
"มาจิกคลีนแบบถุง, น้ำยาถูพื้นมาจิคลีนแบบถุง, น้ำยาถูพื้นมาจิกคลีนแบบถุง",MAGICLEAN แดชลิ่ง แบบถุงเติมรีฟิล 700ml.,"แพ็ค, ถุง",,
แป้งเค้ก,แป้งเค้ก ตราพัดโบก 1kg.,"แพ็ค, ถุง, กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
น้ำตาลทรายเบเกอร์รี่ ลิน,น้ำตาลทรายเบเกอร์รี่ ตราลิน 1kg.,"แพ็ค, ถุง",,
"แป้งข้าวโพด ตราคนอร์, แป้งข้าวโพด คนอร์",แป้งข้าวโพด ตราคนอร์ 700g.,"แพ็ค, ถุง, กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
ไส้ใหญ่ลวก,ไส้ใหญ่ลวก,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
"กุ้งแก้ว, กุ้งเด้ง",กุ้งแก้ว,"กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
ลูกชิ้นเนื้อ,ลูกชิ้นเนื้อ,"กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
"เล้ง, กระดูกเล้ง, เล้งกระดูก",กระดูกเล้ง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,
เต้าหู้พวง,เต้าหู้พวง,"กก, กรัม, Kg, g., kg, พวง, กิโล, กิโลกรัม, โล",,
"ถั่วงอกเด็ดหัวเด็ดหาง, ถั่วงอกเด็ดหัวเด็ดราก",ถั่วงอกเด็ดหัวเด็ดหาง | HEADLESS BEAN SPROUTS,"กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
"กล่องอาหาร, กล่องชามอ้อย",กล่องชามอ้อย 600 มล. 50x1 pack,แพ็ค,,
ดอกเกลือ,ดอกเกลือ,"กก, กรัม, Kg, g., kg, ถุง, กิโล, กิโลกรัม, โล",,
"สก๊อตไบรท์ แบบหนา, โพลีไบรท์ แบบหนา",โพลี-ไบรท์ ใยขัดอเนกประสงค์ แบบหนา,แพ็ค,,โพลี-ไบรท์ ใยขัดอเนกประสงค์ แบบหนา
